timestamp,open,high,low,close,volume,target,rsi_14,rsi_sma_14,rsi_diff,rsi_slope,rsi_dist_50,rsi_zone,roc_7,roc_9,roc_21,roc_7_pos,roc_diff_7_21,ema_7,ema_9,ema_20,ema_50,ema_100,sma_20,sma_25,lsma_25,close_gt_lsma,close_lt_lsma,close_pct_lsma,close_pct_sma_20,ema_alignment,bb_upper,bb_lower,bb_middle,bb_width,bb_squeeze,bb_position,atr_14,atr_pct,vwap,close_pct_vwap,break_high_5,break_low_5,vol_avg_20,vol_rel_avg,close_pct_sma_25,lsma_diff,bb_range,bb_upper_slope,bb_lower_slope,roc7_flag,roc_accel,hl_range,range_pct,future_close,future_return
2023-03-02 09:15:00+05:30,17421.5,17444.55078125,17344.44921875,17354.349609375,0,SIDEWAYS,,,,,,Neutral,,,,0,,,,,,,,,,0,0,,,,,,,,0,,,,17354.349609375,0.0,0,0,,,,,,,,0,,100.1015625,0.5768096457266488,17350.599609375,-0.00021608415667586937
2023-03-02 10:15:00+05:30,17354.5,17388.0,17345.69921875,17376.099609375,0,SIDEWAYS,,,,,,Neutral,,,,0,,,,,,,,,,0,0,,,,,,,,0,,,,17376.099609375,0.0,0,0,,,,,,,,0,,42.30078125,0.24344232710991875,17334.30078125,-0.0024055357108132658
2023-03-02 11:15:00+05:30,17376.05078125,17401.80078125,17363.0,17390.849609375,0,SIDEWAYS,,,,,,Neutral,,,,0,,,,,,,,,,0,0,,,,,,,,0,,,,17390.849609375,0.0,0,0,,,,,,,,0,,38.80078125,0.22311032595603267,17329.400390625,-0.0035334224681509616
2023-03-02 12:15:00+05:30,17380.80078125,17391.80078125,17350.599609375,17350.599609375,0,SIDEWAYS,,,,,,Neutral,,,,0,,,,,,,,,,0,0,,,,,,,,0,,,,17350.599609375,0.0,0,0,,,,,,,,0,,41.201171875,0.23746252465383322,17318.650390625,-0.0018413898925278046
2023-03-02 13:15:00+05:30,17350.75,17368.150390625,17306.5,17334.30078125,0,CALL,,,,,,Neutral,,,,0,,,,,,,,,,0,0,,,,,,,,0,,,,17334.30078125,0.0,0,0,,,,,,,,0,,61.650390625,0.3556554798661703,17512.650390625,0.010288826277199221
2023-03-02 14:15:00+05:30,17334.44921875,17345.400390625,17314.349609375,17329.400390625,0,CALL,,,,,,Neutral,,,,0,,,,,,,,,,0,0,,,,,,,,0,,,,17329.400390625,0.0,0,0,,,,,,,,0,,31.05078125,0.17917977858482687,17547.849609375,0.012605699783368063
2023-03-02 15:15:00+05:30,17329.94921875,17330.650390625,17311.44921875,17318.650390625,0,CALL,,,,,,Neutral,,,,0,,17350.60714285714,,,,,,,,0,0,,,,,,,,0,,,,17318.650390625,0.0,0,0,,,,,,,,0,,19.201171875,0.11086990869331281,17570.55078125,0.014545035839591734
2023-03-03 09:15:00+05:30,17451.25,17514.30078125,17430.5,17512.650390625,0,SIDEWAYS,,,,,,Neutral,0.912167755134334,,,1,,17391.117954799105,,,,,,,,0,0,,,,,,,,0,,,,17512.650390625,0.0,1,0,,,,,,,,1,,83.80078125,0.4785156979714552,17561.650390625,0.0027979773995962963
2023-03-03 10:15:00+05:30,17513.900390625,17555.849609375,17508.55078125,17547.849609375,0,SIDEWAYS,,,,,,Neutral,0.9884266542034267,,,1,,17430.30086844308,17390.527777777777,,,,,,,0,0,,,,,,,,0,,,,17547.849609375,0.0,1,0,,,,,,,,1,,47.298828125,0.26954201898180413,17609.75,0.0035275200097412223
2023-03-03 11:15:00+05:30,17547.5,17578.44921875,17534.900390625,17570.55078125,0,SIDEWAYS,,,,,,Neutral,1.0333087566816017,1.2458039439185085,,1,,17465.36334664481,17426.532378472224,,,,,,,0,0,,,,,,,,0,,,,17570.55078125,0.0,1,0,,,,,,,,1,,43.548828125,0.24785124079019827,17591.900390625,0.0012150791196473324
2023-03-03 12:15:00+05:30,17570.55078125,17575.25,17535.900390625,17561.650390625,0,SIDEWAYS,,,,,,Neutral,1.2163889779115387,1.0678505845459645,,1,,17489.435107639856,17453.55598090278,,,,,,,0,0,,,,,,,,0,,,,17561.650390625,0.0,0,0,,,,,,,,1,,39.349609375,0.2240655547727231,17592.30078125,0.0017453024028631278
2023-03-03 13:15:00+05:30,17561.05078125,17613.75,17560.55078125,17609.75,0,CALL,,,,,,Neutral,1.589041416934136,1.2587101581684423,,1,,17519.51383072989,17484.794784722224,,,,,,,0,0,,,,,,,,0,,,,17609.75,0.0,1,0,,,,,,,,1,,53.19921875,0.30210093130226157,17775.150390625,0.009392546210196057
2023-03-03 14:15:00+05:30,17609.69921875,17644.69921875,17587.19921875,17591.900390625,0,CALL,,,,,,Neutral,1.5147667783243637,1.3907345376099778,,1,,17537.61047070367,17506.21590590278,,,,,,,0,0,,,,,,,,0,,,,17591.900390625,0.0,0,0,,,,,,,,1,,57.5,0.326854965769603,17779.349609375,0.01065542747444697
